model,threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1_score,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,confusion_matrix,fold
Logistic Regression,0.605,0.6878980891719745,0.6600177304964538,0.18867924528301888,0.625,0.625,0.6950354609929078,0.2898550724637681,0.722517730496454,0.20500422706288943,0.23591798572502037,98,43,6,10,"[[98, 43], [6, 10]]",1
Logistic Regression,0.605,0.7834394904458599,0.7132092198581561,0.2631578947368421,0.625,0.625,0.8014184397163121,0.37037037037037035,0.787677304964539,0.27328636341287615,0.1810714190261711,113,28,6,10,"[[113, 28], [6, 10]]",2
Logistic Regression,0.605,0.7898089171974523,0.6613475177304964,0.24242424242424243,0.5,0.5,0.8226950354609929,0.32653061224489793,0.7761524822695036,0.2184567864929399,0.18248164455850704,116,25,8,8,"[[116, 25], [8, 8]]",3
Logistic Regression,0.605,0.7961783439490446,0.6925975177304964,0.2647058823529412,0.5625,0.5625,0.8226950354609929,0.36,0.7570921985815604,0.24350005005805994,0.18968852882891502,116,25,7,9,"[[116, 25], [7, 9]]",4
Logistic Regression,0.605,0.7435897435897436,0.6080357142857142,0.18421052631578946,0.4375,0.4375,0.7785714285714286,0.25925925925925924,0.7464285714285714,0.2840925919139722,0.1845245047479469,109,31,9,7,"[[109, 31], [9, 7]]",5
Logistic Regression,0.605,0.7515923566878981,0.6954787234042553,0.23255813953488372,0.625,0.625,0.7659574468085106,0.3389830508474576,0.8062943262411347,0.3295907310499567,0.1934432983037969,108,33,6,10,"[[108, 33], [6, 10]]",6
Logistic Regression,0.605,0.732484076433121,0.657136524822695,0.20454545454545456,0.5625,0.5625,0.75177304964539,0.3,0.7788120567375887,0.28961155018887835,0.20704161649100536,106,35,7,9,"[[106, 35], [7, 9]]",7
Logistic Regression,0.605,0.7579617834394905,0.6436170212765957,0.21052631578947367,0.5,0.5,0.7872340425531915,0.2962962962962963,0.7384751773049645,0.19498591975946197,0.20001353620011159,111,30,8,8,"[[111, 30], [8, 8]]",8
Logistic Regression,0.605,0.7898089171974523,0.6336436170212766,0.22580645161290322,0.4375,0.4375,0.8297872340425532,0.2978723404255319,0.7242907801418439,0.1859814358223822,0.17871587936284183,117,24,9,7,"[[117, 24], [9, 7]]",9
Logistic Regression,0.605,0.8012820512820513,0.7232142857142857,0.2857142857142857,0.625,0.625,0.8214285714285714,0.39215686274509803,0.8125,0.25093173059955776,0.17029225513813231,115,25,6,10,"[[115, 25], [6, 10]]",10
